item_id,figure1,figure2,figure3,figure4,figure5,figure6,figure7,figure8,choice1,choice2,choice3,choice4,solution,masked_idx,seq_order,choice_order,pattern,trial_type
1628,exclamation,minus,equals,quote,quote,equals,minus,exclamation,exclamation,equals,minus,quote,exclamation,7,40623517,1320,ABCDDCBA,experiment
2045,and,greater-than,dollar-sign,percent,slash,percent,dollar-sign,greater-than,slash,greater-than,percent,dollar-sign,greater-than,7,06143725,1230,ABCDEDCB,experiment
1957,at,quote,exclamation,slash,minus,slash,exclamation,quote,minus,exclamation,slash,quote,quote,7,41527036,1230,ABCDEDCB,experiment
2003,percent,less-than,minus,hashtag,equals,hashtag,minus,less-than,less-than,percent,equals,hashtag,less-than,7,05764321,3210,ABCDEDCB,experiment
1940,tilde,less-than,angle-up,at,and,at,angle-up,less-than,tilde,angle-up,and,less-than,less-than,7,76542031,3012,ABCDEDCB,experiment
2141,minus,at,hashtag,angle-up,exclamation,angle-up,hashtag,at,at,hashtag,exclamation,minus,at,7,64023517,3012,ABCDEDCB,experiment
1928,and,plus,tilde,exclamation,angle-up,exclamation,tilde,plus,angle-up,plus,tilde,exclamation,plus,7,04276351,0231,ABCDEDCB,experiment
2063,slash,angle-up,plus,equals,less-than,equals,plus,angle-up,equals,slash,angle-up,plus,angle-up,7,41326705,0321,ABCDEDCB,experiment
2101,tilde,plus,angle-up,greater-than,equals,greater-than,angle-up,plus,equals,angle-up,plus,greater-than,plus,7,23561047,1230,ABCDEDCB,experiment
2008,tilde,plus,asterisk,greater-than,equals,greater-than,asterisk,plus,plus,greater-than,asterisk,tilde,plus,7,36175024,3120,ABCDEDCB,experiment
1995,minus,plus,equals,at,less-than,at,equals,plus,equals,minus,plus,less-than,plus,7,40216735,2013,ABCDEDCB,experiment
2079,greater-than,equals,minus,percent,quote,percent,minus,equals,equals,greater-than,percent,minus,equals,7,05126437,0123,ABCDEDCB,experiment
2022,exclamation,less-than,hashtag,equals,dollar-sign,equals,hashtag,less-than,less-than,dollar-sign,exclamation,equals,less-than,7,27165340,0312,ABCDEDCB,experiment
2124,and,greater-than,tilde,less-than,dollar-sign,less-than,tilde,greater-than,less-than,greater-than,tilde,and,greater-than,7,16472350,3120,ABCDEDCB,experiment
2035,hashtag,quote,less-than,exclamation,slash,exclamation,less-than,quote,hashtag,quote,slash,exclamation,quote,7,23541706,3021,ABCDEDCB,experiment
2025,minus,dollar-sign,tilde,percent,greater-than,percent,tilde,dollar-sign,tilde,dollar-sign,minus,greater-than,dollar-sign,7,67531240,3120,ABCDEDCB,experiment
2151,and,greater-than,at,minus,exclamation,minus,at,greater-than,at,greater-than,and,minus,greater-than,7,51236470,3120,ABCDEDCB,experiment
2119,percent,dollar-sign,and,plus,minus,plus,and,dollar-sign,and,dollar-sign,plus,minus,dollar-sign,7,01327654,3120,ABCDEDCB,experiment
2014,dollar-sign,greater-than,asterisk,hashtag,angle-up,hashtag,asterisk,greater-than,angle-up,greater-than,hashtag,asterisk,greater-than,7,53724601,1023,ABCDEDCB,experiment
2054,at,exclamation,equals,quote,less-than,quote,equals,exclamation,at,equals,exclamation,less-than,exclamation,7,71326045,3012,ABCDEDCB,experiment
2049,slash,quote,equals,percent,angle-up,percent,equals,quote,angle-up,equals,percent,quote,quote,7,52104673,1302,ABCDEDCB,experiment
1767,minus,angle-up,asterisk,quote,greater-than,greater-than,quote,asterisk,greater-than,asterisk,angle-up,quote,asterisk,7,12364750,3102,ABCDEEDC,experiment
1866,greater-than,quote,dollar-sign,exclamation,plus,plus,exclamation,dollar-sign,dollar-sign,plus,quote,exclamation,dollar-sign,7,53062741,1023,ABCDEEDC,experiment
1711,minus,tilde,hashtag,dollar-sign,equals,equals,dollar-sign,hashtag,dollar-sign,minus,hashtag,equals,hashtag,7,41270563,0312,ABCDEEDC,experiment
1901,asterisk,slash,percent,greater-than,less-than,less-than,greater-than,percent,percent,asterisk,greater-than,slash,percent,7,63520147,1032,ABCDEEDC,experiment
1756,minus,tilde,plus,less-than,slash,slash,less-than,plus,minus,plus,less-than,slash,plus,7,04536721,2130,ABCDEEDC,experiment
1682,plus,at,greater-than,percent,less-than,less-than,percent,greater-than,at,percent,greater-than,plus,greater-than,7,47632015,0312,ABCDEEDC,experiment
